true_trial,false_trial,emotion,difficulty,trial,level
109,24,4,43.93335163,97,1
11,105,2,43.73218409,98,1
11,106,2,43.59993981,99,1
105,13,3,43.59850301,100,2
21,92,3,43.50414433,101,2
71,62,3,43.36418482,102,2
21,14,3,43.3054747,103,2
11,44,2,43.19853037,104,1
11,51,2,43.08781457,105,1
11,29,2,43.05000349,106,1
11,71,2,42.88746207,107,1
23,85,3,42.87448265,108,2
23,89,3,42.79162698,109,2
105,99,3,42.47361302,110,2
23,88,3,42.46926792,111,3
11,110,2,42.26916288,112,1
21,2,3,41.8089902,113,3
71,4,3,41.68621236,114,3
33,105,4,41.56789236,115,1
11,30,2,41.55575775,116,1
105,65,3,41.52054476,117,3
71,1,3,41.48679288,118,3
71,66,3,41.35882275,119,3
105,84,3,41.30740536,120,3
109,21,4,41.30234207,121,1
21,32,3,41.25607086,122,3
21,100,3,41.09308014,123,3
11,42,2,41.04157209,124,1
105,109,3,40.84950675,125,3
105,31,3,40.74188255,126,3
71,64,3,40.7198014,127,3
11,39,2,40.67294875,128,1
11,45,2,40.67126245,129,1
71,33,3,40.55064685,130,3
33,22,4,40.45093871,131,1
71,91,3,40.40591609,132,3
11,107,2,40.3456353,133,1
21,62,3,40.31837563,134,3
71,12,3,40.31720681,135,3
23,67,3,40.19110005,136,3
24,11,3,40.12886799,137,3
68,23,2,40.12221045,138,1
24,15,3,40.06481423,140,3
24,10,3,39.99379653,141,3
105,5,3,39.99129193,142,3
71,17,3,39.97943786,143,3
23,19,3,39.97604386,144,3
105,3,3,39.96256875,145,3
33,71,4,39.92596893,146,1
71,87,3,39.76240886,147,3
105,18,3,39.74844667,148,3
92,28,1,39.71618315,149,1
92,47,1,39.65284204,150,1
23,34,3,39.59653206,151,3
68,28,2,39.57032548,152,1
92,43,1,39.54521599,153,1
23,104,3,39.47729852,154,3
68,21,2,39.45092657,155,1
23,82,3,39.44046381,156,3
71,13,3,39.40663539,157,3
92,42,1,39.3793365,158,1
92,30,1,39.27260261,159,1
21,4,3,39.25639489,160,3
68,49,2,39.22548362,161,1
92,44,1,39.21715231,162,1
92,41,1,39.18571839,163,1
92,23,1,39.11438231,164,1
68,41,2,39.07916413,165,1
21,1,3,39.03000633,166,3
92,49,1,38.9313741,167,1
23,38,3,38.86019826,168,3
105,90,3,38.76978579,169,3
109,105,4,38.73456712,170,1
92,39,1,38.69920152,171,1
92,21,1,38.66241806,172,1
21,66,3,38.65145667,173,3
33,79,4,38.63128092,174,1
92,50,1,38.58237288,175,1
24,94,3,38.36451603,176,3
92,45,1,38.35504496,177,1
11,73,2,38.33539967,178,1
71,99,3,38.32954357,179,3
24,68,3,38.26791365,180,3
72,11,3,38.25344377,181,3
21,33,3,38.23905415,182,3
92,29,1,38.17377749,183,1
105,8,3,38.17366223,184,3
21,64,3,38.14190938,185,3
24,14,3,38.10035439,186,3
68,43,2,37.9333221,187,1
72,94,3,37.93003498,188,3
21,12,3,37.92746585,189,4
24,70,3,37.87905007,190,4
68,27,2,37.86325289,191,1
24,69,3,37.79967381,192,4
21,17,3,37.79649145,193,4
21,91,3,37.76496394,194,4
72,68,3,37.76375253,195,4
68,24,2,37.75609511,196,1
68,47,2,37.7418811,197,1
72,15,3,37.73772095,198,4
72,10,3,37.7225649,199,4
24,93,3,37.70613927,200,4
92,27,1,37.51496138,201,1
71,65,3,37.45434755,202,4
109,22,4,37.43775259,203,1
68,25,2,37.4331605,204,1
24,92,3,37.33020139,205,4
71,84,3,37.30971751,206,4
105,63,3,37.24191762,207,4
21,13,3,37.23009087,208,4
21,87,3,37.22670724,209,4
11,22,2,37.15196876,210,1
109,71,4,37.10268189,211,1
24,2,3,37.07957034,212,4
11,53,2,37.07244531,213,1
33,55,4,37.06095558,214,1
92,26,1,37.05259272,215,1
27,11,3,36.95827507,216,4
72,69,3,36.91540795,217,4
68,105,2,36.90922314,218,1
27,15,3,36.90312502,219,4
33,27,4,36.89482902,220,1
33,6,4,36.88850085,221,1
71,109,3,36.8758395,222,4
11,79,2,36.86784483,223,1
92,25,1,36.8598215,224,1
27,10,3,36.84217704,225,4
72,70,3,36.84024766,226,4
71,31,3,36.82466238,227,4
68,106,2,36.80621439,228,1
92,51,1,36.79788043,229,1
11,59,2,36.76557553,230,1
72,93,3,36.76285674,231,4
33,73,4,36.7121634,232,1
92,40,1,36.6807367,233,1
11,77,2,36.64525838,234,1
24,32,3,36.6374069,235,4
68,44,2,36.60784439,236,1
68,29,2,36.45873089,237,1
68,51,2,36.39411499,238,1
79,11,3,36.39285571,239,4
79,15,3,36.33603628,240,4
23,98,3,36.33020087,241,4
105,89,3,36.32254831,242,4
79,10,3,36.2719259,243,4
105,95,3,36.26866987,244,4
92,46,1,36.23840959,245,1
68,71,2,36.22435615,247,1
105,85,3,36.21104323,248,4
25,11,3,36.1961999,249,4
92,105,1,36.19377316,250,1
71,5,3,36.17886332,251,4
25,15,3,36.14138946,252,4
71,3,3,36.09555257,253,4
25,10,3,36.08303542,254,4
105,86,3,36.06768886,255,4
72,92,3,35.98706789,256,4
105,88,3,35.98419286,257,4
21,99,3,35.96668085,258,4
14,23,2,35.83985127,259,2
24,100,3,35.83356815,260,4
109,79,4,35.80656834,261,1
71,18,3,35.80222311,262,4
68,110,2,35.73476781,263,2
11,108,2,35.65897435,264,2
31,23,4,35.53674431,265,1
92,33,1,35.5151905,266,1
92,71,1,35.48711978,267,1
75,11,3,35.46602535,268,4
93,23,2,35.44700931,269,2
14,28,2,35.38544237,270,2
27,94,3,35.38498973,271,5
24,4,3,35.3745996,272,5
92,107,1,35.36232714,273,1
92,106,1,35.35018272,274,1
11,55,2,35.31792077,275,2
92,110,1,35.30857366,276,1
14,21,2,35.29428896,277,2
27,68,3,35.29038893,278,5
24,62,3,35.28237479,279,5
68,30,2,35.22484967,280,2
23,96,3,35.21891882,281,5
11,50,2,35.21373096,282,2
11,56,2,35.21163797,283,2
31,24,4,35.18601332,284,1
21,65,3,35.17489343,285,5
24,1,3,35.14428088,286,5
21,84,3,35.14174741,287,5
14,49,2,35.08068969,288,2
75,94,3,35.03719062,289,5
75,15,3,35.03661493,290,5
27,14,3,35.02116998,291,5
75,10,3,35.01895802,292,5
14,41,2,34.99530194,293,2
93,28,2,34.98286508,294,2
71,90,3,34.96084173,295,5
41,1,5,34.94172529,296,1
21,31,3,34.93793661,297,5
27,70,3,34.92107581,298,5
23,7,3,34.89036592,299,5
75,68,3,34.88909302,300,5
93,21,2,34.88677457,301,2
68,42,2,34.88008438,302,2
41,14,5,34.85414607,303,1
27,69,3,34.84912628,304,5
11,54,2,34.80339583,305,2
79,94,3,34.7942378,306,5
27,93,3,34.7573955,307,5
21,109,3,34.71467726,308,5
79,68,3,34.7061361,309,5
93,49,2,34.67994187,310,2
25,94,3,34.67338126,311,5
24,33,3,34.6315196,312,5
25,68,3,34.57904373,313,5
93,41,2,34.57841982,314,2
68,39,2,34.55286297,315,2
79,14,3,34.54958802,316,5
68,45,2,34.52245381,317,2
41,11,5,34.48832102,318,1
71,8,3,34.44436459,319,5
21,5,3,34.41555616,320,5
27,92,3,34.39651704,321,5
24,17,3,34.3743506,322,5
94,23,2,34.36840049,323,2
1,28,1,34.35787985,325,1
79,70,3,34.35312611,326,5
41,9,5,34.3447214,327,1
1,47,1,34.33808254,328,1
24,12,3,34.30452754,329,5
109,55,4,34.291523,330,1
23,46,3,34.287089,331,5
92,73,1,34.28659893,332,1
79,69,3,34.28092013,333,5
25,14,3,34.27289075,334,5
1,43,1,34.26191776,335,1
21,3,3,34.24600407,336,5
72,14,3,34.23375558,337,5
24,66,3,34.23047302,338,5
25,70,3,34.21254792,339,5
79,93,3,34.19559288,340,5
105,19,3,34.17891981,341,5
92,108,1,34.14881251,342,1
68,107,2,34.14519066,343,2
75,69,3,34.14349702,344,5
25,69,3,34.14291615,345,5
1,42,1,34.13852822,346,1
14,43,2,34.13371451,347,2
41,3,5,34.13010205,348,1
75,70,3,34.0901292,349,5
1,30,1,34.06282529,350,1
1,41,1,34.06048851,351,1
41,5,5,34.05536281,352,1
27,2,3,34.05487346,353,6
25,93,3,34.05143136,354,6
1,44,1,34.04688756,355,1
14,27,2,34.01230248,356,2
75,93,3,34.00674439,357,6
14,24,2,33.99503544,358,2
109,27,4,33.97686598,359,1
1,23,1,33.97349431,360,1
109,6,4,33.95598328,361,1
14,47,2,33.93765278,362,2
109,73,4,33.92389426,363,1
24,64,3,33.92382959,364,6
94,28,2,33.91377312,365,2
24,13,3,33.90682887,366,6
1,49,1,33.8553748,367,1
79,92,3,33.85374579,368,6
41,15,5,33.8510806,369,1
92,83,1,33.82033982,370,1
105,34,3,33.81818037,371,6
94,21,2,33.81617976,372,2
23,81,3,33.76254365,373,6
14,25,2,33.72328479,374,2
1,21,1,33.70209397,375,1
25,92,3,33.69275341,376,6
