row,Track,Category,Level,Album,id,Anger,Fear,Happy,Sad,Tender,Gender,Age,Musicianship,Emotion,Tension,Energy,Valence
1387,37,Sad,High,Batman,28,1,8,1,7,3,Female,27,2,Discrete,NA,NA,NA
1388,38,Sad,High,Dracula,28,1,1,1,3,4,Female,27,2,Discrete,NA,NA,NA
1389,39,Sad,High,Shakespeare In Love,28,1,1,1,8,5,Female,27,2,Discrete,NA,NA,NA
1390,40,Sad,High,The English Patient,28,1,2,3,8,3,Female,27,2,Discrete,NA,NA,NA
1391,41,Tender,Moderate,Shine,28,1,1,3,4,9,Female,27,2,Discrete,NA,NA,NA
1392,42,Tender,Moderate,Pride & Prejudice,28,1,1,4,1,8,Female,27,2,Discrete,NA,NA,NA
1393,43,Tender,Moderate,Dances with Wolves,28,1,1,3,1,9,Female,27,2,Discrete,NA,NA,NA
1394,44,Tender,Moderate,Pride & Prejudice,28,1,1,6,1,7,Female,27,2,Discrete,NA,NA,NA
1395,45,Tender,Moderate,Oliver Twist,28,1,1,3,2,7,Female,27,2,Discrete,NA,NA,NA
1396,46,Tender,High,Batman,28,1,1,4,1,3,Female,27,2,Discrete,NA,NA,NA
1397,47,Tender,High,Oliver Twist,28,1,1,6,1,7,Female,27,2,Discrete,NA,NA,NA
1398,48,Tender,High,Dracula,28,1,4,1,3,1,Female,27,2,Discrete,NA,NA,NA
1399,49,Tender,High,Juha,28,1,1,7,1,3,Female,27,2,Discrete,NA,NA,NA
1400,50,Tender,High,Oliver Twist,28,1,1,1,8,3,Female,27,2,Discrete,NA,NA,NA
1401,1,Anger,Moderate,Lethal weapon 3,29,4,5,1,3,1,Male,26,1,Discrete,NA,NA,NA
1402,2,Anger,Moderate,The Rainmaker,29,7,5,1,4,1,Male,26,1,Discrete,NA,NA,NA
1403,3,Anger,Moderate,The Alien Trilogy,29,7,3,2,2,1,Male,26,1,Discrete,NA,NA,NA
1404,4,Anger,Moderate,Cape Fear,29,3,4,1,3,1,Male,26,1,Discrete,NA,NA,NA
1405,5,Anger,Moderate,The Fifth Element,29,5,4,1,4,1,Male,26,1,Discrete,NA,NA,NA
1406,6,Anger,High,Crouching Tiger ,29,3,3,4,2,1,Male,26,1,Discrete,NA,NA,NA
1407,7,Anger,High,Batman Returns,29,4,5,2,4,1,Male,26,1,Discrete,NA,NA,NA
1408,8,Anger,High,Man of Galilee CD1,29,1,2,1,5,2,Male,26,1,Discrete,NA,NA,NA
1409,9,Anger,High,The Untouchables,29,3,3,4,2,1,Male,26,1,Discrete,NA,NA,NA
1410,10,Anger,High,Oliver Twist,29,3,6,1,3,1,Male,26,1,Discrete,NA,NA,NA
1411,11,Fear,Moderate,Batman Returns,29,3,7,1,2,1,Male,26,1,Discrete,NA,NA,NA
1412,12,Fear,Moderate,JFK,29,1,6,2,1,1,Male,26,1,Discrete,NA,NA,NA
1413,13,Fear,Moderate,JFK,29,3,8,1,1,1,Male,26,1,Discrete,NA,NA,NA
1414,14,Fear,Moderate,The Alien Trilogy,29,2,7,1,2,1,Male,26,1,Discrete,NA,NA,NA
1415,15,Fear,Moderate,Hannibal,29,1,7,1,2,1,Male,26,1,Discrete,NA,NA,NA
1416,16,Fear,High,Running Scared,29,3,3,1,2,1,Male,26,1,Discrete,NA,NA,NA
1417,17,Fear,High,The Untouchables,29,2,5,1,3,2,Male,26,1,Discrete,NA,NA,NA
1418,18,Fear,High,The Fifth Element,29,4,5,1,3,1,Male,26,1,Discrete,NA,NA,NA
