Label,Name,TargetEmo,ComparisonEmo,PercentageCorrect,PercentageFalse,Distance,Ttest,Label1,Label2,Soundtrack,Level,Trials
tender anger,41,6.65671641791045,1.01492537313433,0.985074626865672,0,22.8573124251724,22.8573124251724,4,1,Shine,1,17
happy tender,24,6.94029850746269,1.26865671641791,0.970149253731343,0,22.1940993113552,22.1940993113552,2,4,Man of Galilee CD1,4,18
happy sad,22,6.80597014925373,1.29850746268657,1,0,21.627785065067,21.627785065067,2,3,Batman,4,19
happy anger,22,6.80597014925373,1.32835820895522,1,0,21.5871035683276,21.5871035683276,2,1,Batman,4,20
sad anger,109,7,1.12765957446809,0.978723404255319,0,21.5035764577677,21.5035764577677,3,1,Pride & Prejudice,1,21
sad anger,81,6.38297872340426,1,1,0,20.7781678226093,20.7781678226093,3,1,Juha,1,22
happy anger,24,6.94029850746269,1.26865671641791,0.955223880597015,0,20.4307159828315,20.4307159828315,2,1,Man of Galilee CD1,5,23
anger tender,3,6.3134328358209,1.01492537313433,0.925373134328358,0,20.4095315567356,20.4095315567356,1,4,The Alien Trilogy,1,24
anger happy,92,6.46808510638298,1.02127659574468,1,0,19.921700336228,19.921700336228,1,2,The Fifth Element,1,25
anger tender,92,6.46808510638298,1,1,0,19.8717423757478,19.8717423757478,1,4,The Fifth Element,1,26
tender anger,42,6.05970149253731,1,0.970149253731343,0,19.7657889260137,19.7657889260137,4,1,Pride & Prejudice,1,27
happy tender,22,6.80597014925373,1.50746268656716,1,0,19.6955301346465,19.6955301346465,2,4,Batman,5,28
anger tender,1,6.38805970149254,1.01492537313433,0.955223880597015,0,19.6192723911589,19.6192723911589,1,4,Lethal weapon 3,1,29
sad anger,31,6.77611940298507,1.1044776119403,0.925373134328358,0,19.5867457390616,19.5867457390616,3,1,The English Patient,1,30
sad anger,84,6.17021276595745,1.04255319148936,1,0,19.3875195541507,19.3875195541507,3,1,Blanc,2,31
sad happy,84,6.17021276595745,1.04255319148936,1,0,19.2605817235882,19.2605817235882,3,2,Blanc,2,32
sad happy,81,6.38297872340426,1.12765957446809,1,0,19.1433609504029,19.1433609504029,3,2,Juha,2,33
happy sad,25,6.28358208955224,1.58208955223881,0.955223880597015,0,19.0256381242737,19.0256381242737,2,3,Oliwer Twist,5,34
anger tender,5,6.13432835820895,1.07462686567164,0.970149253731343,0,18.8157435906955,18.8157435906955,1,4,The Fifth Element,1,35
happy tender,71,6.8936170212766,1.78723404255319,0.978723404255319,0,18.7433361268659,18.7433361268659,2,4,The Untouchables,5,36
tender anger,106,6.57446808510638,1,0.978723404255319,0,18.7309132481871,18.7309132481871,4,1,Lethal weapon 3,1,37
anger happy,5,6.13432835820895,1.07462686567164,0.955223880597015,0.0149253731343284,18.3619590411618,18.3619590411618,1,2,The Fifth Element,2,38
sad anger,34,6.11940298507463,1.13432835820896,0.940298507462687,0,18.3323047608732,18.3323047608732,3,1,Big Fish,2,39
anger happy,1,6.38805970149254,1.2089552238806,0.940298507462687,0.0149253731343284,18.1552752410758,18.1552752410758,1,2,Lethal weapon 3,2,40
sad happy,31,6.77611940298507,1.25373134328358,0.940298507462687,0.0149253731343284,17.4138463847653,17.4138463847653,3,2,The English Patient,2,41
happy sad,79,6.59574468085106,1.02127659574468,0.978723404255319,0,17.3381537812499,17.3381537812499,2,3,Batman,6,42
anger happy,3,6.3134328358209,1.3134328358209,0.91044776119403,0.0149253731343284,17.1468935217668,17.1468935217668,1,2,The Alien Trilogy,2,43
sad anger,50,5.28358208955224,1.01492537313433,0.91044776119403,0,16.5222342103292,16.5222342103292,3,1,Oliwer Twist,2,44
happy anger,73,6.36170212765957,1.04255319148936,0.936170212765957,0.0212765957446809,16.517329305738,16.517329305738,2,1,Shine,6,45
tender anger,28,5.34328358208955,1.01492537313433,0.955223880597015,0,16.4331867079108,16.4331867079108,4,1,Grizzly Man,2,46
